GMAT词汇精选
abduct	      v.绑架,拐走
abrogation	      n.废除,废止
abscissa	      n.横座标
abstinence	      n.节制,禁欲
accrue		v.增长,增殖,获得,积累,产生
acquiesce		v.勉强同意,默认
acquittal		n.宣告无罪,开释
adamant		a.强硬的,固执的
adjoining		a.毗邻的
adjudication	n.判决,裁定,宣告.
admonition		n.告诫,劝告;温和的责备
adulatory		a.馅媚的,奉承的
anaerobic		a.厌氧的
aeronautics		n.航空学
aerosol		n.烟雾;［化］气溶,烟雾剂
affinity		n.密切关系,吸引力
afoul			ad.纠缠着(run afoul of与...纠缠)
aggregation	n.集合,集中,群体
agrarian		a.耕地的,土地的,土地所有的,农民的 
n.主张平均地权的人
ailment		n.(不严重的)疾病
algae			n.(alga的复数)水藻,海藻
alkaline		a.碱的,含碱的,碱性的
allegiance		n.忠诚, 拥护
allergy		n.过敏症,厌恶
alligator		n.短吻鳄
almshouse		n.贫民所,救济院
amass		v.积聚
ambivalence	n.矛盾心理
ambivalent		a.(对人或物) 有矛盾看法的
amend		v.修订
amiable		a.和蔼的,亲切的
amnesia		n.健忘症
anachronism	n.年代错误
analgesic		n.镇痛剂, a.止痛的
anatomy		n.解剖,分析;解剖学;人体,骨骼
anecdotal		a.轶事的,爱谈奇闻轶事的
anesthetic		a.麻醉的 ,麻醉剂的.
animate		vt.使兴奋,使活跃
annuity		n.年金,年金享受权; 年金保险
antagonism		n.对抗,敌对
antedate		v.(在信,文件上)写上较早日期
anterior		a.较早的,以前的
anthology		n.诗集,文选
antibiotics		n.抗生素
antibody		n.抗体(身体中的抗病物质)
anticlimactic	a.高潮突降的; 虎头蛇尾的
antidote		n.解毒药
antigen		n.抗原(注射于动物体内,能使之产生抗体的物质)
antipode		n.恰恰相反的事物(of,to);相对极,对极
antipsychotic	a.抑制精神的，n.安定药
antiquity		n.古代,古;古人,古迹
antithesis		n.对立,相对
ape			n.无尾猿, 类人猿;模仿者;粗野的大汉
periodic		a.周期的
apolitical		a.不关心政治的,无政治意义的
apologist		n.辩护士(尤指卫护基督教教义的辩护者)
apothecary		n.药剂师;药商
apparatus		n.仪器,工具
apparel		n.衣服,服饰;外观,外表;船上的用具
appliance		n.应用,适用; 用具,品具,装置
applicable		a.生效的,适合的
apportion		v.(按比例或计划)分配
apprehend		v.逮捕,恐惧,担心
approbation	n.赞成,同意
appropriation		/ EprEupri5eiFEn/  n.拨款,挪用公款
aquatic		/ E5kwAtik/  a.水的,有水的,与水有关的
arable			/ 5ArEbl/  a.适于耕作的,可耕的,n.耕地
arbitrary		/ 5a:bitrEri/  a.专横的,不理智的
arbitrator		/ 5B:bitreitE/  n.公断人
arcane			/ B:5kein/  a.秘密的,神秘的
archaeologist		/ a:kiE5lRdVist/  n.考古学家
archenemy		/ 5B:tF5enimi/  n.天敌;主要敌人
archives		/ 5B:kaivz/  n.档案
ardent			/ 5a:dEnt/  a.热心的,热烈的
area			/ 5ZEriE/  n.面积
arid			/ 5Arid/  a.干旱的
arithmetic mean	/ /  算术平均数(总和除以个数)
arithmetic progression	/ /  等差级数
arm			/ a:m/  n.直角三角形的股
array			/ E5rei/  v.使....排列成阵势;装扮,打扮;排列
artery			/ 5a:tEri/  n.［医］动脉
artifact		/ 5B:tifAkt/  n.手工艺器;文物
artisan		/ a:ti5zAn/  n.手工业工人,手艺人
as-yet-unexploited	/ /  a.尚未开发利用的
ascribe		/ Es5kraib/  v.把....归于
aspersion		/ Es5pE:VEn/  n.诽谤,中伤
asphyxiation		/ Asfiksi5eiFEn/  n.窒息
aspire			/ Es5paiE/  v.渴望,热望,抱负.
assassination		/ EsAsi5neiFEn/  n.刺杀,暗杀
assembly line		/ /  n.装配线(生产上一环接一环的)
assess			/ E5ses/  v.估价,评价
asteroid		/ 5AstErRid/  a.星状的;［天］小行星
asthma			/ 5AsmE/  n.哮喘
astute			/ Es5tju:t/  a.机敏的,精明的
asunder		/ E5sQndE/  ad.分开,化为碎片
at one stroke		/ /  一笔,一举
at stake		/ /  存亡修关, 危累卵
atticulate		/ /  v.清楚说话,接合
attorney		/ E5tE:ni/  n.律师
attribute		/ 5Atribju:t/  n.属性,品质,把...归于(to)
attrition		/ E5triFEn/  n.消磨,磨损
auction		/ 5R:kFEn/  n.拍卖
audit			/ 5R:dit/  v.［经］审计
aura			/ 5R:rE/  n.(人或物发出的)气味,香味;(电)辉光;(医)预感,先兆
aurora			/ R:5rR:rE/  n.极光(南北极夜晚所放彩光)
austere		/ Rs5tiE/  a.朴素的,(人)正经的;(经济)紧缩的
authentic		/ R:5Wentik/  a.真的,真实的
automation		/ R:tE5meiFEn/  n.自动化
autonomous		/ R:5tRnEmEs/  a.自主的,自治的
